Id,SalePrice
1461,127634.43954076215
1462,164817.00717325532
1463,179892.11854852573
1464,179057.28651934632
1465,199738.78140982546
1466,178616.76191409523
1467,167853.5966163119
1468,170329.25253531736
1469,179198.01265995792
1470,119295.79571646331
1471,207412.49990467992
1472,98275.33161110723
1473,97463.90752780972
1474,148743.89764529053
1475,121087.4635068858
1476,373595.2612774347
1477,260156.6277390666
1478,303191.13170987344
1479,258781.44511349383
1480,476828.9259420161
1481,298778.9251360709
1482,212430.40317451436
1483,174534.50476202008
1484,157623.6721555409
1485,164334.18923181438
1486,198147.78850412517
1487,336565.45444360084
1488,241176.20705310127
1489,206694.80851501663
1490,200715.7021748833
1491,181595.92921981058
1492,101221.43241926038
1493,184375.11080350168
1494,283811.5364776443
1495,292818.7955355908
1496,220344.84340452912
1497,167634.52239262013
1498,156879.00337254195
1499,154561.40237482582
1500,151663.58042893864
1501,172975.5631456718
1502,147658.92107045712
1503,317132.8997373695
1504,238719.37591148025
1505,211166.39918853235
1506,184547.4960487952
1507,237160.74219129252
1508,197786.32231272306
1509,168245.4096784845
1510,149096.20588982897
1511,149057.53720960557
1512,171639.81499017094
1513,148943.32093347478
1514,159537.2782677498
1515,184542.59476505875
1516,165117.25823992412
1517,150985.31462879814
1518,142880.73016114044
1519,228788.10522655098
1520,139826.23531819732
1521,144561.6085812739
1522,176648.22011857096
1523,108576.60364607401
1524,127958.6099932456
1525,128058.83406888031
1526,139677.36126638378
1527,92994.96648336279
1528,123707.39049345699
1529,142223.68961044756
1530,159486.60820665423
1531,114376.0012426619
1532,95732.47176784831
1533,149559.57779287684
1534,120255.93448764429
1535,142513.47043481114
1536,102082.33215015428
1537,78599.61515786128
1538,187593.37300430605
1539,188309.71564143768
1540,132520.82277176212
1541,154900.57297438296
1542,138030.0064213355
1543,235443.9877308365
1544,82961.64735045131
1545,110500.73316760086
1546,131341.8529594806
1547,127882.13162324851
1548,129154.0218868481
1549,122420.49635515184
1550,140001.22545212694
1551,121464.24814585569
1552,131874.4753731937
1553,152089.9280111707
1554,105216.43511092874
1555,177713.01963987804
1556,117798.7490723509
1557,125932.81085714498
1558,107079.80571909655
1559,118443.38165294424
1560,127436.88468538933
1561,179093.0473815309
1562,122483.83526330555
1563,123438.2708490801
1564,163205.56333209333
1565,145074.863248328
1566,211149.84145165057
1567,95154.05165466279
1568,214278.43940749514
1569,139244.08440968394
1570,120381.80907010763
1571,118618.61519577463
1572,136422.77624318353
1573,266216.9927614673
1574,132382.1815681688
1575,211309.69404795664
1576,239547.70597081984
1577,209635.40571659894
1578,123977.22154830536
1579,148820.68255006036
1580,204011.8272565558
1581,138099.2708642748
1582,129237.39423173701
1583,335642.3208277355
1584,232978.10099061232
1585,145296.1340882251
1586,60944.34772111923
1587,101043.37001598002
1588,144060.19087047284
1589,101247.89093966829
1590,134960.10977751412
1591,99359.9699942978
1592,116041.73509759372
1593,125514.51349571678
1594,171646.33683363287
1595,136094.33560026714
1596,248263.37881143336
1597,182415.2405436338
1598,202358.57873804495
1599,185206.6006997366
1600,179629.13002480526
1601,63289.87876534077
1602,118863.24536495858
1603,97166.64318629641
1604,269690.4273579442
1605,247877.8140242759
1606,167494.04563409573
1607,190391.96189520124
1608,210286.97078590395
1609,191733.02131382638
1610,161994.37953160927
1611,146414.3477825461
1612,172641.6586279255
1613,158749.4230622793
1614,124099.25506619603
1615,80232.61194918488
1616,71700.43293462682
1617,84560.80293097672
1618,119832.0898111502
1619,131516.81643058007
1620,173385.66314212282
1621,150333.29405320773
1622,135951.9179709323
1623,304761.95030072983
1624,202802.39203705706
1625,138469.00091156372
1626,183171.47535774947
1627,182750.2052943337
1628,291492.51137804287
1629,182072.51560603504
1630,360245.0328936837
1631,235621.17879887047
1632,254422.1440291388
1633,163638.66087466903
1634,179027.04046584127
1635,181252.17851429014
1636,159514.37519157294
1637,163117.33328445477
1638,202039.18328060684
1639,175990.77012370623
1640,273615.695401983
1641,172396.544798968
1642,213995.88249246878
1643,234538.9957360785
1644,233786.86058029422
1645,160745.26903739973
1646,155030.18174251515
1647,170293.59152895314
